account_name, discord_id, blacklisted_on, reason, active
"strmor2", "726096719573680181", "27/06/2020", "Stole Item(s) during Service(s)", "Y"
"jeka12012", "342248236146360330", "28/06/2020", "Stole Item(s) during Service(s)", "Y"
"b414nc3", "282606714749190154", "28/06/2020", "Stole Item(s) during Service(s)", "Y"
"Quilindark", "330575878776160256", "29/06/2020", "Stole Item(s) during Service(s)", "Y"
"frostwaveq", "178157641531392000", "30/06/2020", "Stole Item(s) during Service(s)", "Y"
"Bahl1488", "", "1/7/2020", "Stole Item(s) during Service(s)", "Y"
"Pathofbubu", "", "1/7/2020", "Service(s) Collateral Scam(s)", "Y"
"Yavurts", "373552286464475136", "2/7/2020", "Stole Item(s) during Service(s)", "Y"
"Jugi8582", "728440836206886922", "2/7/2020", "Stole Item(s) during Service(s)", "Y"
"Pnkaw", "", "3/7/2020", "Stole Item(s) during Service(s)", "Y"
"F1nnr", "683005995093590072", "6/7/2020", "Stole Service Fee", "Y"
"LegacySnow", "274516315920793601", "7/7/2020", "Service(s) Collateral Scam(s)", "Y"
"TRumut", "316337408872415242", "10/7/2020", "Stole Item(s) during Service(s)", "Y"
"polar641", "684088326759907358", "13/7/2020", "Service(s) Collateral Scam(s)", "Y"
"Daiiden", "263829307498037253", "14/7/2020", "Service(s) Collateral Scam(s)", "Y"
"Goobe", "680134378860314633", "15/7/2020", "Stole Item(s) during Service(s)", "Y"
"Szymus95", "472390005604745216", "16/7/2020", "Stole Item(s) during Service(s)", "Y"
"ILOVERANG1235", "731739326743838821", "16/7/2020", "Service(s) Collateral Scam(s)", "Y"
"firchek", "351417930392797185", "17/7/2020", "Stole Item(s) during Service(s)", "Y"
"CompanionCube_2", "171659664163995648", "17/7/2020", "Service(s) Collateral Scam(s)", "Y"
"IIILIILLIIILIILLI", "", "19/7/2020", "Service(s) Collateral Scam(s)", "Y"
"iksiks", "731460206210449408", "19/7/2020", "Stole Item(s) during Service(s)", "Y"
"Invoker2288", "628665099623596053", "20/7/2020", "Stole Item(s) during Service(s)", "Y"
"SJ12K", "", "20/7/2020", "Stole Item(s) during Service(s)", "Y"
"joshrasmussen", "", "21/7/2020", "Stole Item(s) during Service(s)", "Y"
"SShadowSStalker", "702523626492526594", "22/7/2020", "Stole Item(s) during Service(s)", "Y"
"Xalizz", "234314435781591040", "24/7/2020", "Did not pay for Service(s)", "Y"
"xCrismon", "388407357052420116", "24/7/2020", "Service(s) Collateral Scam(s)", "Y"
"nekrolin", "236455417033523200", "25/7/2020", "Stole Item(s) during Service(s)", "Y"
"Gaec", "", "26/7/2020", "Service(s) Collateral Scam(s)", "Y"
"synthesis360", "310731292146663444", "27/7/2020", "Stole Item(s) during Service(s)", "Y"
"Whoocares", "160137121225637889", "27/7/2020", "Did not pay for Service(s)", "Y"
"AvatarVA", "737369670889819274", "27/7/2020", "Did not pay for Service(s)", "Y"
"BomBa260", "221308739725033482", "28/7/2020", "Service(s) Collateral Scam(s)", "Y"
"IronaSona", "283256244645396481", "28/7/2020", "Did not pay for Service(s)", "Y"
"DisguisedLion", "737652619375411303", "31/7/2020", "Stole Item(s) during Service(s)", "Y"
"Unknowner", "184801667919773697", "31/7/2020", "Stole Item(s) during Service(s)", "Y"
"sundope", "351808273558667267", "31/07/2020", "Did not pay for Service(s)", "Y"
"SolitaryShell", "275182657560772608", "1/8/2020", "Stole Item(s) during Service(s)", "Y"
"Jaaaake", "155478460620341248", "2/8/2020", "Build Sale(s) Scam(s)", "Y"
"Egor_sell1", "449662289730338838", "5/8/2020", "Stole Item(s) during Service(s)", "Y"
"cpjjj", "", "6/8/2020", "Did not pay for Service(s)", "Y"
"mrxmasterking", "696078109060890704", "6/8/2020", "Stole Item(s) during Service(s)", "Y"
"Traconi", "553147877736710144", "7/8/2020", "Stole Item(s) during Service(s)", "Y"
"pathofexile001", "184889403938701312", "9/8/2020", "Build Sale(s) Scam(s)", "Y"
"keojeN", "", "10/8/2020", "Did not pay for Service(s)", "Y"
"TastyLaksa", "728037050263011410", "11/8/2020", "Stole Item(s) during Service(s)", "Y"
"PracticePotential", "258589914516553736", "13/8/2020",  "Stole Item(s) during Service(s)", "Y"
"ActuallyBest", "258589914516553736", "13/8/2020", "Stole Item(s) during Service(s)", "Y"
"hillrack", "258589914516553736", "13/8/2020", "Stole Item(s) during Service(s)", "Y"
"morro321", "660178672413704263", "13/8/2020", "Stole Item(s) during Service(s)", "Y"
"ZloyPesik", "743801901698777114", "15/8/2020", "Stole Item(s) during Service(s)", "Y"
"DoMind", "370934014435131393", "15/8/2020", "Stole Item(s) during Service(s)", "Y"
"nrgggman", "318069838734032896", "16/8/2020", "Stole Item(s) during Service(s)", "Y"
"Bumpkiss", "236691744014467072", "16/8/2020", "Stole Item(s) during Service(s)", "Y"
"f1ght3R", "215494871685922818", "17/8/2020", "Stole Item(s) during Service(s)", "Y"
"Frank1601", "", "21/8/2020", "Did not pay for Service(s)", "Y"
"Devil016007", "99930819740594176", "25/8/20", "Did not pay for Service(s)", "Y"
"HuSo0", "348120054296215562", "25/8/20", "Stole Item(s) during Service(s)", "Y"
"lokoijojojo", "153554890155753472", "28/8/2020", "Stole Item(s) during Service(s)", "Y"
"Maverick4711", "484769825386921996", "30/8/2020", "Stole Item(s) during Service(s)", "Y"
"freindlybrother", "156896945389043712", "5/9/2020", "Stole Item(s) during Service(s)", "Y"
"Gatoringa", "112289403161894912", "9/9/2020", "Did not pay for Service(s)", "Y"
"RedGrapes", "705223898064617493", "9/9/2020", "Stole Item(s) during Service(s)", "Y"
"supcpykr", "753916716097994802", "11/9/2020", "Did not pay for Service(s)", "Y"
"acungrepure", "142536042027810816", "13/9/2020", "Stole Item(s) during Service(s)", "Y"
"yceb0x", "733199191248994324", "15/9/20", "Stole Item(s) during Service(s)", "Y"
"sublhinz", "226683624756477953", "24/09/20", "Swap Scam(s)", "Y"
"iLuvCorn", "538892836603559936", "30/09/20", "Stole Item(s) during Service(s)", "Y"
"garrodranrev12", "736413926602047542", "7/10/2020", "Stole Item(s) during Service(s)", "Y"
"EnemyOfProgress", "241172885366898689", "7/10/2020", "Stole Item(s) during Service(s)", "Y"
"Krabc0v", "304258161622122498", "7/10/2020", "Stole Item(s) during Service(s)", "Y"
"DanielDefoe34", "211925815049322496", "8/10/2020", "Build Sale(s) Scam(s)", "Y"
"GokiPlaysPoe", "732532613264310293", "15/10/2020", "Build Sale(s) Scam(s)", "Y"
"Alooren", "392848455241826304", "22/10/2020", "Stole Item(s) during Service(s)", "Y"
"Edward1337", "286477019221327872", "22/10/2020", "Stole Item(s) during Service(s)", "Y"
"大雞巴大雞蛋", "176007204636327938", "26/10/2020", "Stole Item(s) during Service(s)", "Y"
"leroymerlin", "645031786765746188", "28/10/2020", "Stole Item(s) during Service(s)", "Y"
"fracture_service", "", "2/11/2020", "Stole Item(s) during Service(s)", "Y"
"wencu", "398864469557510145", "5/11/2020", "Stole Item(s) during Service(s)", "Y"
"SirRylu", "212698617973047298", "4/11/2020", "Build Sale(s) Scam(s)", "Y"
"CallMeJ", "474894804204126221", "6/11/2020", "Swap Scam(s)", "Y"
"SenSe_Bjorn", "194071596091179008", "6/11/2020", "Stole Item(s) during Service(s)", "Y"
"LakeLEW", "737949384091631616", "16/11/2020", "Stole Item(s) during Service(s)", "Y"
"G1F3R", "326868890233602060", "17/11/2020", "Vouch Complaints", "N"
"DenisGrand", "741032370047680622", "22/11/2020", "Build Sale(s) Scam(s)", "Y"
"nemOtsosin", "", "19/11/2020", "Stole Item(s) during Service(s)", "Y"
"daedalus024", "486539966671749122", "23/11/2020", "Build Sale(s) Scam(s)", "Y"
"PathOfMemeDom", "257493979740897282", "16/12/2020", "Stole Item(s) during Service(s)", "Y"
"krysztian", "180673436736159744", "7/12/2020", "Stole Item(s) during Service(s)", "Y"
"Destined_death1", "", "20/12/2020", "Stole Item(s) during Service(s)", "Y"
"KoolaidMinistries", "602983902293786644", "27/12/2020", "Stole Item(s) during Service(s)", "Y"
"hishamism", "201451702375677953", "01/01/2021", "Stole Item(s) during Service(s)", "Y"
"GMASTERGAME1638", "", "05/01/2021", "Swap Scam(s)", "Y"
"ir_vengful", "781697466884948028", "05/01/2021", "Stole Item(s) during Service(s)", "Y"
"bobby3127", "715336508403613799", "02/07/2020", "Stole Item(s) during Service(s)", "Y"
"bildpoebota", "", "16/01/2021", "Swap Scam(s)", "Y"
"MaMaMiA2565", "", "18/01/2021", "Swap scam(s)", "Y"
"BVwins", "163836593872961536", "18/01/2021", "Stole Item(s) during Service(s)", "Y"
"Alotofart", "", "18/01/2021", "Swap Scam(s)", "Y"
"dupontiaq", "", "18/01/2021", "Swap Scam(s)", "Y"
"ukulelelessonone", "", "18/01/2021", "Swap Scam(s)", "Y"
"helpoakplease", "", "19/01/2021", "Swap Scam(s)", "Y"
"Anakondasss", "", "19/01/2021", "Swap Scam(s)", "Y"
"oneplusnord", "", "19/01/2021", "Swap Scam(s)", "Y"
"xDkaneki", "", "19/01/2021", "Service(s) Collateral Scam(s)", "Y"
"anotherburialking", "", "20/01/2021", "Swap Scam(s)", "Y"
"Ambushblade", "", "20/01/2021", "Swap Scam(s)", "Y"
"Saint_Saens", "", "20/01/2021", "Swap Scam(s)", "Y"
"DG420", "", "20/01/2021", "Swap Scam(s)", "Y"
"manhei2000", "", "20/01/2021", "Stole Item(s) during Service(s)", "Y"
"soapiee", "150335876281401344", "20/01/2021", "Stole Item(s) during Service(s)", "Y"
"crocodiLu89", "526514828907380736", "20/01/2021", "Service(s) Collateral Scam(s)", "Y"
"ScorpionRV", "300151257199411201", "20/01/2021", "Stole Service Fee", "Y"
"VegetaMajin_", "", "20/01/2021", "Swap Scam(s)", "Y"
"DrLilwhitetimes", "391635630926331904", "21/01/2021", "Stole Item(s) during Service(s)", "Y"
"healthyfoot", "", "21/01/2021", "Swap Scam(s)", "Y"
"Ioonade", "", "21/01/2021", "Swap Scam(s)", "Y"
"lolliconda", "792900698714144809", "21/01/2021", "Stole Item(s) during Service(s)", "Y"
"lake01", "292733961572974592", "21/01/2012", "Stole Item(s) during Service(s)", "Y"
"masl0rez", "735769003771035678", "21/01/2021", "Stole Item(s) during Service(s)", "Y"
"Quditeea", "", "21/01/2021", "Swap Scam(s)", "Y"
"scavengerexile", "677624338651807745", "21/01/2021", "Did not pay for Service(s)", "Y"
"englishdoyouspeakit", "", "21/01/2021", "Swap Scam(s)", "Y"
"malic_01", "", "21/01/2021", "Swap Scam(s)", "Y"
"ground558", "", "21/01/2021", "Swap Scam(s)", "Y"
"artem36557", "", "21/01/2021", "Swap Scam(s)", "Y"
"SimpleGuyWorks", "", "21/01/2021", "Swap Scam(s)", "Y"
"poebotakil", "", "21/01/2021", "Swap Scam(s)", "Y"
"Intoxicated", "", "21/01/2021", "Did not pay for Service(s)", "Y"
"SleepingAlltime", "", "21/01/2021", "Swap Scam(s)", "Y"
"Sp33dy9", "801011091298975744", "21/01/2021", "Stole Item(s) during Service(s)", "Y"
"karolusaimpus", "", "22/01/2021", "Swap Scam(s)", "Y"
"thunderstormaway", "", "23/01/2021", "Swap Scam(s)", "Y"
"JoséMayer", "263394177038024704", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"YayChauvinism", "", "23/01/2021", "Swap Scam(s)", "Y"
"janiberdov", "794461004285083648", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"Doylami", "", "23/01/2021", "Swap Scam(s)", "Y"
"DeathGun", "210812846399946752", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"Nantitava", "", "23/01/2021", "Swap Scam(s)", "Y"
"easygogame_q", "", "23/01/2021", "Swap Scam(s)", "Y"
"RoflFahrrad", "137374610550161408", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"uevwnnnewmmeee", "", "23/01/2021", "Rota Scam", "Y"
"ReubBreak", "", "23/01/2021", "Rota Scam", "Y"
"DaroGyd", "", "23/01/2021", "Rota Scam", "Y"
"TrippleGGG", "", "23/01/2021", "Swap Scam", "Y"
"Lalantina1488", "802703096517886012", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"StonedProx", "399359480342642688", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"AllenYin", "", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"phantomarex", "", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"JustInSaiyan", "", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"goodkira", "", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"Onigeari", "", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"Howhy", "", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"InsertDamageHere", "", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"Mirlonger", "750569246425088040", "23/01/2021", "Stole Item(s) during Service(s)", "Y"
"Fizzie", "170325768683913216", "24/01/2021", "Stole Item(s) during Service(s)", "Y"
"ByeByeExile", "", "24/01/2021", "Swap Scam(s)", "Y"
"UGA_N_NWI", "", "24/01/2021", "Swap Scam(s)", "Y"
"Lo_luk", "", "24/01/2021", "Swap Scam(s)", "Y"
"maulfansclub1", "439084534311419915", "24/01/2021", "Did not pay for Service(s)", "Y"
"SKASTOGER", "", "24/01/2021", "Swap Scam(s)", "Y"
"valleyofemptiness", "", "25/01/2021", "Swap Scam(s)", "Y"
"itheisttime", "", "25/01/2021", "Swap Scam(s)", "Y"
"pjwilliamskk", "", "25/01/2021", "Swap Scam(s)", "Y"
"SKALPIK", "", "25/01/2021", "Rota Scam", "Y"
"Onlyoneup", "", "25/01/2021", "Swap Scam(s)", "Y"
"BlackSheep822", "534982453677391882", "25/01/2021", "Stole Item(s) during Service(s)", "Y"
"SingleLadiesDmMe", "", "25/01/2021", "Stole Item(s) during Service(s))", "Y"
"ZikkkyD", "", "25/01/2021", "Swap Scam(s)", "Y"
"jolithicc", "", "25/01/2021", "Stole Item(s) during Service(s)", "Y"
"ONEMEYKER", "", "25/01/2021", "Swap Scam(s)", "Y"
"ge1and", "", "25/01/2021", "Rota Scam", "Y"
"Bykaker", "", "25/01/2021", "Wrong Craft on Item", "Y"
"Kareylo", "", "25/01/2021", "Stole Item(s) during Service(s)", "Y"
"YNZA_NFE_NAIOW", "", "25/01/2021", "Swap Scam(s)", "Y"
"Aarompaul", "", "25/01/2021", "Swap Scam(s)", "Y"
"GarryHamsterdy", "329630427062992900", "25/01/2021", "Stole Item(s) during Service(s)", "Y"
"xRubzy", "", "25/01/2021", "Stole Item(s) during Service(s)", "Y"
"GarSlam666", "", "25/01/2021", "Swap Scam(s)", "Y"
"CraftMaster007", "", "25/01/2021", "Swap Scam(s)", "Y"
"Hardvoker", "216465890328313857", "25/01/2021", "Wrong craft on item", "Y"
"Amandaanderson3", "", "25/01/2021", "Swap Scam(s)", "Y"
"deathpoenote", "", "25/01/2021", "Swap Scam(s)", "Y"
"atxrus", "790139218290016286", "25/01/2021", "Stole Item(s) during Service(s)", "Y"
"smackdick15", "764132266447601744", "25/01/2021", "Stole Item(s) during Service(s)", "Y"
"TsoyOneGasm", "748648550744719380", "25/01/2021", "Stole Item(s) during Service(s)", "Y"
"Houxx", "199404480771391488", "25/01/2021", "Stole Item(s) during Service(s)", "Y"
"mineral123", "356880356781195264", "25/01/2021", "Stole Item(s) during Service(s)", "Y"
"DjFreedom", "", "25/01/2021", "Stole Item(s) during Service(s)", "Y"
"MariaNill", "", "26/01/2021", "Swap Scam(s)", "Y"
"Thisissparta1", "", "26/01/2021", "Swap Scam(s)", "Y"
"rcwetn", "", "26/01/2021", "Swap Scam(s)", "Y"
"luzziPOE", "295510278794117120", "26/01/2021", "Rota Scam", "Y"
"弗拉帕克洛", "803380594008260649", "26/01/2021", "Stole Item(s) during Service(s)", "Y"
"ALILULELOLALILULELO", "", "26/01/2021", "Swap Scam(s)", "Y"
"BradsPOE", "228887276741066752", "26/01/2021", "Stole Item(s) during Service(s)", "Y"
"sześćdziesiąt9", "", "26/01/2021", "Stole Item(s) during Service(s)", "Y"
